"PERIOD","ITEM","VALUE"
1986,"L_S1_EINLINLNB_SPAR",894412
1986,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",1170680
1986,"L_S1_EINLINLNB_FX",18913
1986,"L_S1_EINLINLNB_TOT",1189593
1986,"L_S1_EIGENEINLEMISSIONEN",348404
1986,"L_S1_NOMINALKAPINLAENDER",22417
1986,"L_S1_RUECKLAG",43590
1986,"L_S1_HAFTRUECKLAGE",24157
1986,"L_S1_PARTIZIPKAPINLAENDER",NA
1986,"L_S1_ERGAENZKAPINLAENDER",NA
1986,"L_S1_OTHER",135463
1986,"L_S1_TOT",2532080
1986,"L_S2_INTBNK",516573
1986,"L_S2_EINLAUSLNB",90019
1986,"L_S2_EIGENEAUSLEMISSIONEN",146337
1986,"L_S2_NOMINALKAPAUSLAENDER",1693
1986,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1986,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1986,"L_S2_OTHER",17817
1986,"L_S2_TOT",772439
1986,"L_TOT",3304519
1987,"A_S1_KASSENLIQU_BESTAND",9871
1987,"A_S1_KASSENLIQU_GUTHOENB",42780
1987,"A_S1_INTBANK_GUTHABEN",532822
1987,"A_S1_INTBANK_KRED",166345
1987,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",51196
1987,"A_S1_INLWPERGAENZKAP_SONSTWP",260011
1987,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",26972
1987,"A_S1_INLWPERGAENZKAP_TOT",338178
1987,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",543
1987,"A_S1_DIREKTKREDINLNB_WECHSEL",85184
1987,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",534449
1987,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",755671
1987,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",1375304
1987,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",62937
1987,"A_S1_DIREKTKREDINLNB_TOT",1438241
1987,"A_S1_BETKONSORT_TOT",45046
1987,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",327
1987,"A_S1_OTHER",120713
1987,"A_S1_TOT",2693995
1987,"A_S2_KASSENBESTFX",3021
1987,"A_S2_INTBNK_GUTHABEN",377717
1987,"A_S2_INTBNK_KRED",151994
1987,"A_S2_AUSLWPBETKONSORT",52451
1987,"A_S2_KREDAUSLNB",149620
1987,"A_S2_OTHER",17862
1987,"A_S2_TOT",751665
1987,"A_TOT",3419130
1987,"L_S1_INTBNK",715668
1987,"L_S1_EINLINLNB_SICHT",129149
1987,"L_S1_EINLINLNB_TERMIN",176330
1987,"L_S1_EINLINLNB_SPAR",953703
1987,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",1259182
1987,"L_S1_EINLINLNB_FX",17953
1987,"L_S1_EINLINLNB_TOT",1277135
1987,"L_S1_EIGENEINLEMISSIONEN",379385
1987,"L_S1_NOMINALKAPINLAENDER",24767
1987,"L_S1_RUECKLAG",54314
1987,"L_S1_HAFTRUECKLAGE",28609
1987,"L_S1_PARTIZIPKAPINLAENDER",1919
1987,"L_S1_ERGAENZKAPINLAENDER",1037
1987,"L_S1_OTHER",141548
1987,"L_S1_TOT",2624382
1987,"L_S2_INTBNK",540879
1987,"L_S2_EINLAUSLNB",96810
1987,"L_S2_EIGENEAUSLEMISSIONEN",142406
1987,"L_S2_NOMINALKAPAUSLAENDER",2061
1987,"L_S2_PARTIZIPKAPAUSLAENDER",139
1987,"L_S2_ERGAENZUNGSKAPAUSLAENDER",135
1987,"L_S2_OTHER",12319
1987,"L_S2_TOT",794748
1987,"L_TOT",3419230
1988,"A_S1_KASSENLIQU_BESTAND",9790
1988,"A_S1_KASSENLIQU_GUTHOENB",38967
1988,"A_S1_INTBANK_GUTHABEN",525206
1988,"A_S1_INTBANK_KRED",174862
1988,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",46919
1988,"A_S1_INLWPERGAENZKAP_SONSTWP",281040
1988,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",38440
1988,"A_S1_INLWPERGAENZKAP_TOT",366399
1988,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",618
1988,"A_S1_DIREKTKREDINLNB_WECHSEL",89509
1988,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",561762
1988,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",825472
1988,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",1476743
1988,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",72599
1988,"A_S1_DIREKTKREDINLNB_TOT",1549342
1988,"A_S1_BETKONSORT_TOT",52403
1988,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",307
1988,"A_S1_OTHER",113461
1988,"A_S1_TOT",2830429
1988,"A_S2_KASSENBESTFX",2697
1988,"A_S2_INTBNK_GUTHABEN",386922
1988,"A_S2_INTBNK_KRED",159750
1988,"A_S2_AUSLWPBETKONSORT",61261
1988,"A_S2_KREDAUSLNB",191589
1988,"A_S2_OTHER",14710
1988,"A_S2_TOT",816929
1988,"A_TOT",3617329
1988,"L_S1_INTBNK",724107
1988,"L_S1_EINLINLNB_SICHT",152246
1988,"L_S1_EINLINLNB_TERMIN",174367
1988,"L_S1_EINLINLNB_SPAR",995684
1988,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",1312297
1988,"L_S1_EINLINLNB_FX",20020
1988,"L_S1_EINLINLNB_TOT",1332316
1988,"L_S1_EIGENEINLEMISSIONEN",422812
1988,"L_S1_NOMINALKAPINLAENDER",26376
1988,"L_S1_RUECKLAG",64270
1988,"L_S1_HAFTRUECKLAGE",33738
1988,"L_S1_PARTIZIPKAPINLAENDER",2425
1988,"L_S1_ERGAENZKAPINLAENDER",1708
1988,"L_S1_OTHER",125758
1988,"L_S1_TOT",2733511
1988,"L_S2_INTBNK",566569
1988,"L_S2_EINLAUSLNB",120595
1988,"L_S2_EIGENEAUSLEMISSIONEN",179719
1988,"L_S2_NOMINALKAPAUSLAENDER",2606
1988,"L_S2_PARTIZIPKAPAUSLAENDER",179
1988,"L_S2_ERGAENZUNGSKAPAUSLAENDER",311
1988,"L_S2_OTHER",13839
1988,"L_S2_TOT",883817
1988,"L_TOT",3617329
